--------------------------------------------------------------
--------------------------------------------------------------
The following data gives the positions of possible binding sites for adatoms and admolecules across a cluster or surface.

The following sites are binding sites for top sites.
Site		Binding Position			Surface Position		Indices of atoms involved
Site 165	[ 9.91409803 17.14865174 10.53264017]	[ 9.66930741 16.09653981 10.74033716]	[66, 73]
Site 166	[8.28823014 5.91075062 9.61332701]	[8.955723   6.73403105 9.90771216]	[68, 71]
Site 167	[11.45833234  5.44401211 10.16652026]	[10.98503454  6.43198245 10.26603808]	[68, 76]
Site 168	[ 6.27977338  7.43884758 10.05091237]	[ 6.97545272  8.23932836 10.34290686]	[71, 74]
Site 169	[ 6.82253511 15.76021963 10.29424565]	[ 7.74077968 15.23761014 10.60036037]	[72, 73]
Site 170	[ 5.67676067 14.16342196 11.28181932]	[ 6.57794146 13.55902307 11.46230526]	[72, 77]
--------------------------------------------------------------
The following sites are binding sites for three-fold sites.
Site		Binding Position			Surface Position		Indices of atoms involved
Site 1	[11.17105987 11.44749611 17.93803515]	[10.74057724 11.75326237 16.9730524 ]	[0, 1, 2]
Site 2	[10.78453178 13.5800719  17.90536283]	[10.51049255 13.11401313 16.94740055]	[0, 1, 3]
Site 3	[ 9.32730535 10.42407497 17.61080208]	[ 9.55243813 11.0767555  16.75445906]	[0, 2, 5]
Site 4	[ 8.76441288 13.85489294 17.60214798]	[ 9.16938286 13.29156239 16.7485333 ]	[0, 3, 4]
Site 5	[ 7.82316694 11.88423802 17.42442383]	[ 8.57878799 12.03769806 16.63989413]	[0, 4, 5]
Site 6	[12.34001411 10.99025136 17.29407855]	[11.93442507 11.28583229 16.31523768]	[1, 2, 7]
Site 7	[11.74262459 14.48735993 17.16186054]	[11.44581187 14.0009767  16.22093888]	[1, 3, 8]
Site 8	[13.52132146 11.96598868 17.04977015]	[13.06723935 12.22192134 16.0811072 ]	[1, 6, 7]
Site 9	[13.10314608 14.06346089 16.95373426]	[12.80871084 13.57631499 16.01246025]	[1, 6, 8]
Site 10	[ 9.30772256  9.16889176 16.5427816 ]	[ 9.53227379  9.90183067 15.75387268]	[2, 5, 12]
Site 11	[12.41346046  9.62852664 16.86714372]	[12.00961452  9.90469562 15.88193352]	[2, 7, 10]
Site 12	[10.49573456  8.50679845 16.34129887]	[10.79560235  9.19720088 15.53916186]	[2, 10, 12]
Site 13	[ 8.3506574  14.93001202 16.68981801]	[ 8.75795831 14.36130391 15.840891  ]	[3, 4, 13]
Site 14	[11.3111777  15.7789095  16.63202921]	[11.01363923 15.29447494 15.6903318 ]	[3, 8, 11]
Site 15	[ 9.27437645 16.06358325 16.35303837]	[ 9.66689536 15.47725289 15.50915117]	[3, 11, 13]
Site 16	[ 6.80973777 11.72409888 16.44852151]	[ 7.5407322  11.87369589 15.64027162]	[4, 5, 14]
Site 17	[ 7.03568137 14.87193247 16.1017516 ]	[ 7.43876197 14.30308904 15.2509031 ]	[4, 13, 15]
Site 18	[ 6.0569828  12.95884012 15.95109723]	[ 6.81213073 13.06934536 15.15892289]	[4, 14, 15]
Site 19	[ 8.084593    8.82607957 15.94149788]	[ 8.2435032   9.54172895 15.1213799 ]	[5, 12, 16]
Site 20	[ 6.49768314 10.41485184 15.9354435 ]	[ 7.22561175 10.55265161 15.12234377]	[5, 14, 16]
